Time,UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%]
1670629630,0,1,-32,32,5.8,11,40,1,0.447,0,2.6,23,335,23,0
1670629631,0,1,-32,32,10,11,40,1,0.443,0,2.6,23,337,23,0
1670629632,0,1,-32,32,3.8,11,40,1,0.454,0,2.6,23,335,23,0
1670629633,0,1,-32,32,9.4,11,40,1,0.452,0,2.6,23,342,23,0
1670629634,0,1,-30,30,8.9,11,40,1,0.45,0,2.6,23,346,23,0
1670629635,0,1,-28,28,7.9,11,40,1,0.448,0,2.6,23,362,23,0
1670629636,0,1,-28,28,0.946,11,40,1,0.438,0,2.6,23,386,23,0
1670629637,0,1,-28,28,3.2,13,40,1,0.674,0,2.6,23,348,23,0
1670629638,0,1,-28,28,7.2,20,40,1,1.4,0,2.6,23,285,23,0
1670629639,0,1,-28,28,4.8,13,40,1,0.676,0,2.6,23,308,23,0
1670629640,0,1,-28,28,-1.4,11,40,1,0.445,0,2.6,23,348,23,0
1670629641,0,1,-28,28,0.682,11,40,1,0.447,0,2.6,23,379,23,0
1670629642,0,1,-28,28,5.3,11,40,1,0.443,0,2.6,23,386,23,0
1670629643,0,1,-28,28,13,19,40,1,1.3,0,2.6,23,271,23,0
1670629644,0,1,-28,28,2.4,16,40,1,0.912,0,2.6,23,278,23,0
1670629645,0,1,-28,28,2.7,11,40,1,0.451,0,2.6,23,305,23,0
1670629646,0,1,-26,26,4.7,11,40,1,0.448,0,2.6,23,323,23,0
1670629647,0,1,-25,25,7.5,11,40,1,0.446,0,2.6,23,332,23,0
1670629648,0,1,-25,25,2.6,11,40,1,0.444,0,2.6,23,333,23,0
1670629649,0,1,-25,25,0.729,11,40,1,0.454,0,2.6,23,335,22,0
1670629650,0,1,-25,25,2.1,11,40,1,0.453,0,2.6,23,338,23,0
1670629651,0,1,-25,25,5.7,11,40,1,0.45,0,2.6,23,342,23,0
1670629652,0,1,-25,25,6.5,11,40,1,0.447,0,2.6,23,354,23,0
1670629653,0,1,-25,25,12,11,40,1,0.449,0,2.6,23,380,23,0
1670629654,0,1,-25,25,2,11,40,1,0.449,0,2.6,23,386,23,0
1670629655,0,1,-25,25,8,19,40,1,1.3,0,2.6,23,286,23,0
1670629656,0,1,-25,25,5.2,15,40,1,0.881,0,2.6,23,295,22,0
1670629657,0,1,-25,25,3,11,40,1,0.448,0,2.6,23,336,23,0
1670629658,0,1,-19,19,-0.828,11,40,1,0.456,0,2.6,23,371,23,0
1670629659,0,1,-17,17,-2.6,11,40,1,0.444,0,2.6,23,386,23,0
1670629660,0,1,-17,17,14,16,40,1,1,0,2.6,23,291,23,0
1670629661,0,1,-17,17,13,18,40,1,1.1,0,2.6,23,273,23,0
1670629662,0,1,-17,17,-3.7,11,40,1,0.448,0,2.6,23,298,23,0
1670629663,0,1,-17,17,-2.1,11,40,1,0.444,0,2.6,23,316,23,0
1670629664,0,1,-17,17,-2.4,11,40,1,0.443,0,2.6,23,329,23,0
1670629665,0,1,-17,17,3.2,11,40,1,0.452,0,2.6,23,332,23,0
1670629666,0,1,-17,17,-5.7,11,40,1,0.462,0,2.6,23,334,23,0
1670629667,0,1,-17,17,3.3,11,40,1,0.462,0,2.6,23,336,23,0
1670629668,0,1,-17,17,5.1,11,40,1,0.465,0,2.6,23,339,22,0
1670629669,0,1,-17,17,-2.3,11,40,1,0.46,0,2.6,23,348,23,0
1670629670,0,1,-17,17,-8.6,11,40,1,0.461,0,2.6,23,361,23,0
1670629671,0,1,-17,17,4,11,40,1,0.46,0,2.6,23,386,23,0
1670629672,0,1,-17,17,0.89,13,40,1,0.656,0,2.6,23,355,23,0
1670629673,0,1,-17,17,28,20,40,1,1.4,0,2.6,23,294,23,0
1670629674,0,1,-17,17,14,14,40,1,0.712,0,2.6,23,315,23,0
1670629675,0,1,-17,17,-0.413,11,40,1,0.447,0,2.6,23,348,23,0
1670629676,0,1,-17,17,14,11,40,1,0.447,0,2.6,23,379,22,0
1670629677,0,1,-17,17,3.8,11,40,1,0.456,0,2.6,23,383,23,0
1670629678,0,1,-17,17,18,18,40,1,1.1,0,2.6,23,284,23,0
1670629679,0,1,-17,17,24,18,40,1,1.1,0,2.6,23,281,22,0
1670629680,0,1,-17,17,-1.7,11,40,1,0.441,0,2.6,23,302,23,0
1670629681,0,1,-17,17,4.7,11,40,1,0.456,0,2.6,23,322,23,0
1670629682,0,1,-17,17,2.9,11,40,1,0.445,0,2.6,23,337,23,0
1670629683,0,1,-17,17,-1.4,11,40,1,0.447,0,2.6,23,342,23,0
1670629684,0,1,-17,17,-3.4,11,40,1,0.45,0,2.6,23,343,23,0
1670629685,0,1,-17,17,0.731,11,40,1,0.444,0,2.6,23,344,23,0
1670629686,0,1,-17,17,3.6,11,40,1,0.442,0,2.6,23,349,23,0
1670629687,0,1,-17,17,-1.6,11,40,1,0.445,0,2.6,23,356,23,0
1670629688,0,1,-17,17,-2.2,11,40,1,0.439,0,2.6,23,378,22,0
1670629689,0,1,-17,17,-0.087,11,40,1,0.451,0,2.6,23,384,23,0
1670629690,0,1,-17,17,11,19,40,1,1.2,0,2.6,23,277,23,0
