[2022-12-01 13:24:16.692340] Connecting to host 172.16.0.1, port 5201
[2022-12-01 13:24:16.972727] [  4] local 172.16.0.2 port 53666 connected to 172.16.0.1 port 5201
[2022-12-01 13:24:37.045335] [  4]  19.00-20.00  sec   700 KBytes  5.73 Mbits/sec    0    344 KBytes       
[2022-12-01 13:24:38.045369] [  4]  20.00-21.00  sec   636 KBytes  5.21 Mbits/sec    0    345 KBytes       
[2022-12-01 13:24:39.045379] [  4]  21.00-22.00  sec   636 KBytes  5.21 Mbits/sec    0    352 KBytes       
[2022-12-01 13:24:40.045478] [  4]  22.00-23.00  sec   636 KBytes  5.21 Mbits/sec    0    366 KBytes       
[2022-12-01 13:24:41.045244] [  4]  23.00-24.00  sec   636 KBytes  5.21 Mbits/sec    0    392 KBytes       
[2022-12-01 13:24:42.045396] [  4]  24.00-25.00  sec   255 KBytes  2.08 Mbits/sec   13    291 KBytes       
[2022-12-01 13:24:43.044594] [  4]  25.00-26.00  sec  1.12 MBytes  9.39 Mbits/sec    3    298 KBytes       
[2022-12-01 13:24:44.045318] [  4]  26.00-27.00  sec   636 KBytes  5.21 Mbits/sec    0    339 KBytes       
[2022-12-01 13:24:45.045435] [  4]  27.00-28.00  sec   636 KBytes  5.21 Mbits/sec    0    370 KBytes       
[2022-12-01 13:24:46.045304] [  4]  28.00-29.00  sec   636 KBytes  5.21 Mbits/sec    0    392 KBytes       
[2022-12-01 13:24:47.045250] [  4]  29.00-30.00  sec   191 KBytes  1.56 Mbits/sec    7    277 KBytes       
[2022-12-01 13:24:48.044449] [  4]  30.00-31.00  sec  1.12 MBytes  9.39 Mbits/sec    0    290 KBytes       
[2022-12-01 13:24:49.045421] [  4]  31.00-32.00  sec   636 KBytes  5.21 Mbits/sec    0    314 KBytes       
[2022-12-01 13:24:50.045378] [  4]  32.00-33.00  sec   636 KBytes  5.21 Mbits/sec    0    328 KBytes       
[2022-12-01 13:24:51.045401] [  4]  33.00-34.00  sec   636 KBytes  5.21 Mbits/sec    0    335 KBytes       
[2022-12-01 13:24:52.045345] [  4]  34.00-35.00  sec   636 KBytes  5.21 Mbits/sec    0    337 KBytes       
[2022-12-01 13:24:53.045389] [  4]  35.00-36.00  sec   636 KBytes  5.21 Mbits/sec    0    337 KBytes       
[2022-12-01 13:24:54.045278] [  4]  36.00-37.00  sec   700 KBytes  5.73 Mbits/sec    0    339 KBytes       
[2022-12-01 13:24:55.045429] [  4]  37.00-38.00  sec   636 KBytes  5.21 Mbits/sec    0    346 KBytes       
[2022-12-01 13:24:56.045381] [  4]  38.00-39.00  sec   636 KBytes  5.21 Mbits/sec    0    362 KBytes       
[2022-12-01 13:24:57.044934] [  4]  39.00-40.00  sec   700 KBytes  5.74 Mbits/sec    0    389 KBytes       
[2022-12-01 13:24:58.045371] [  4]  40.00-41.00  sec   255 KBytes  2.08 Mbits/sec   10    307 KBytes       
[2022-12-01 13:24:59.044473] [  4]  41.00-42.00  sec  1018 KBytes  8.35 Mbits/sec    7    211 KBytes       
[2022-12-01 13:25:00.045402] [  4]  42.00-43.00  sec   700 KBytes  5.73 Mbits/sec    0    218 KBytes       
[2022-12-01 13:25:01.045327] [  4]  43.00-44.00  sec   636 KBytes  5.21 Mbits/sec    0    232 KBytes       
[2022-12-01 13:25:02.045351] [  4]  44.00-45.00  sec   573 KBytes  4.69 Mbits/sec    0    240 KBytes       
[2022-12-01 13:25:03.045446] [  4]  45.00-46.00  sec   700 KBytes  5.73 Mbits/sec    0    242 KBytes       
[2022-12-01 13:25:04.045304] [  4]  46.00-47.00  sec   573 KBytes  4.69 Mbits/sec    0    242 KBytes       
[2022-12-01 13:25:05.045319] [  4]  47.00-48.00  sec   636 KBytes  5.21 Mbits/sec    0    243 KBytes       
[2022-12-01 13:25:06.045350] [  4]  48.00-49.00  sec   573 KBytes  4.69 Mbits/sec    0    250 KBytes       
[2022-12-01 13:25:07.044776] [  4]  49.00-50.00  sec   573 KBytes  4.69 Mbits/sec    0    263 KBytes       
[2022-12-01 13:25:08.044700] [  4]  50.00-51.00  sec   573 KBytes  4.69 Mbits/sec    0    288 KBytes       
[2022-12-01 13:25:09.045375] [  4]  51.00-52.00  sec   445 KBytes  3.65 Mbits/sec    0    322 KBytes       
[2022-12-01 13:25:10.045455] [  4]  52.00-53.00  sec   509 KBytes  4.17 Mbits/sec    0    375 KBytes       
[2022-12-01 13:25:11.045305] [  4]  53.00-54.00  sec   382 KBytes  3.13 Mbits/sec    0    436 KBytes       
[2022-12-01 13:25:12.045240] [  4]  54.00-55.00  sec  0.00 Bytes  0.00 bits/sec   41    298 KBytes       
[2022-12-01 13:25:13.044399] [  4]  55.00-56.00  sec   954 KBytes  7.83 Mbits/sec    3    322 KBytes       
[2022-12-01 13:25:14.045293] [  4]  56.00-57.00  sec   509 KBytes  4.17 Mbits/sec    0    362 KBytes       
[2022-12-01 13:25:15.045387] [  4]  57.00-58.00  sec   445 KBytes  3.65 Mbits/sec    0    396 KBytes       
[2022-12-01 13:25:16.044759] [  4]  58.00-59.00  sec   191 KBytes  1.56 Mbits/sec   12    314 KBytes       
[2022-12-01 13:25:17.045355] [  4]  59.00-60.00  sec   700 KBytes  5.73 Mbits/sec    6    287 KBytes       
[2022-12-01 13:25:18.045296] [  4]  60.00-61.00  sec   509 KBytes  4.17 Mbits/sec    0    308 KBytes       
[2022-12-01 13:25:19.045235] [  4]  61.00-62.00  sec   382 KBytes  3.13 Mbits/sec    0    327 KBytes       
[2022-12-01 13:25:20.045290] [  4]  62.00-63.00  sec   382 KBytes  3.13 Mbits/sec    0    338 KBytes       
[2022-12-01 13:25:21.045329] [  4]  63.00-64.00  sec   445 KBytes  3.65 Mbits/sec    0    344 KBytes       
[2022-12-01 13:25:22.045339] [  4]  64.00-65.00  sec   382 KBytes  3.13 Mbits/sec    0    345 KBytes       
[2022-12-01 13:25:23.044890] [  4]  65.00-66.00  sec   382 KBytes  3.13 Mbits/sec    0    346 KBytes       
[2022-12-01 13:25:24.045366] [  4]  66.00-67.00  sec   255 KBytes  2.08 Mbits/sec    0    351 KBytes       
[2022-12-01 13:25:25.045507] [  4]  67.00-68.00  sec   318 KBytes  2.61 Mbits/sec    0    358 KBytes       
[2022-12-01 13:25:26.045305] [  4]  68.00-69.00  sec   255 KBytes  2.09 Mbits/sec    0    372 KBytes       
[2022-12-01 13:25:27.045415] [  4]  69.00-70.00  sec   255 KBytes  2.08 Mbits/sec    0    395 KBytes       
[2022-12-01 13:25:28.045284] [  4]  70.00-71.00  sec   127 KBytes  1.04 Mbits/sec    4    395 KBytes       
[2022-12-01 13:25:29.045313] [  4]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec   22    291 KBytes       
[2022-12-01 13:25:30.045328] [  4]  72.00-73.00  sec   191 KBytes  1.56 Mbits/sec    4    293 KBytes       
[2022-12-01 13:25:31.045309] [  4]  73.00-74.00  sec   509 KBytes  4.17 Mbits/sec    2    280 KBytes       
[2022-12-01 13:25:32.045288] [  4]  74.00-75.00  sec  0.00 Bytes  0.00 bits/sec    0    229 KBytes       
[2022-12-01 13:25:33.045377] [  4]  75.00-76.00  sec   445 KBytes  3.65 Mbits/sec    0    209 KBytes       
[2022-12-01 13:25:34.045588] [  4]  76.00-77.00  sec   191 KBytes  1.56 Mbits/sec    0    223 KBytes       
[2022-12-01 13:25:35.045348] [  4]  77.00-78.00  sec   191 KBytes  1.56 Mbits/sec    0    235 KBytes       
[2022-12-01 13:25:36.045299] [  4]  78.00-79.00  sec   127 KBytes  1.04 Mbits/sec    0    242 KBytes       
[2022-12-01 13:25:37.045313] [  4]  79.00-80.00  sec   127 KBytes  1.04 Mbits/sec    0    245 KBytes       
[2022-12-01 13:25:38.045388] [  4]  80.00-81.00  sec   127 KBytes  1.04 Mbits/sec    0    246 KBytes       
[2022-12-01 13:25:39.045340] [  4]  81.00-82.00  sec  63.6 KBytes   521 Kbits/sec    0    249 KBytes       
[2022-12-01 13:25:40.045290] [  4]  82.00-83.00  sec   127 KBytes  1.04 Mbits/sec    0    255 KBytes       
[2022-12-01 13:25:41.045425] [  4]  83.00-84.00  sec  63.6 KBytes   521 Kbits/sec    0    262 KBytes       
[2022-12-01 13:25:42.045501] [  4]  84.00-85.00  sec   127 KBytes  1.04 Mbits/sec    0    279 KBytes       
[2022-12-01 13:25:43.045388] [  4]  85.00-86.00  sec  63.6 KBytes   521 Kbits/sec    0    303 KBytes       
[2022-12-01 13:25:44.045233] [  4]  86.00-87.00  sec  0.00 Bytes  0.00 bits/sec    1    280 KBytes       
[2022-12-01 13:25:45.045293] [  4]  87.00-88.00  sec  0.00 Bytes  0.00 bits/sec    0    260 KBytes       
[2022-12-01 13:25:46.045244] [  4]  88.00-89.00  sec  0.00 Bytes  0.00 bits/sec    0    247 KBytes       
[2022-12-01 13:25:47.045457] [  4]  89.00-90.00  sec  0.00 Bytes  0.00 bits/sec    0    230 KBytes       
[2022-12-01 13:25:48.045234] [  4]  90.00-91.00  sec  0.00 Bytes  0.00 bits/sec    0    216 KBytes       
[2022-12-01 13:25:49.045301] [  4]  91.00-92.00  sec   255 KBytes  2.08 Mbits/sec    0    214 KBytes       
[2022-12-01 13:25:50.045288] [  4]  92.00-93.00  sec  63.6 KBytes   521 Kbits/sec    0    223 KBytes       
[2022-12-01 13:25:51.045277] [  4]  93.00-94.00  sec  63.6 KBytes   521 Kbits/sec    0    236 KBytes       
[2022-12-01 13:25:52.045779] [  4]  94.00-95.00  sec  63.6 KBytes   521 Kbits/sec    0    243 KBytes       
[2022-12-01 13:25:53.045246] [  4]  95.00-96.00  sec  63.6 KBytes   522 Kbits/sec    1    245 KBytes       
[2022-12-01 13:25:54.045210] [  4]  96.00-97.00  sec  0.00 Bytes  0.00 bits/sec    0    235 KBytes       
[2022-12-01 13:25:55.045375] [  4]  97.00-98.00  sec  0.00 Bytes  0.00 bits/sec    1    225 KBytes       
[2022-12-01 13:25:56.045632] [  4]  98.00-99.00  sec  0.00 Bytes  0.00 bits/sec    1    211 KBytes       
[2022-12-01 13:25:57.045417] [  4]  99.00-100.00 sec  0.00 Bytes  0.00 bits/sec    0    201 KBytes       
[2022-12-01 13:25:58.045309] [  4] 100.00-101.00 sec  0.00 Bytes  0.00 bits/sec    1    191 KBytes       
[2022-12-01 13:25:59.046073] [  4] 101.00-102.00 sec  0.00 Bytes  0.00 bits/sec    3    180 KBytes       
[2022-12-01 13:26:00.045556] [  4] 102.00-103.00 sec  0.00 Bytes  0.00 bits/sec    1    174 KBytes       
[2022-12-01 13:26:01.045311] [  4] 103.00-104.00 sec  0.00 Bytes  0.00 bits/sec    2    173 KBytes       
[2022-12-01 13:26:02.045241] [  4] 104.00-105.00 sec  63.6 KBytes   521 Kbits/sec    2    174 KBytes       
[2022-12-01 13:26:03.045267] [  4] 105.00-106.00 sec  0.00 Bytes  0.00 bits/sec    2    171 KBytes       
[2022-12-01 13:26:04.045228] [  4] 106.00-107.00 sec  63.6 KBytes   521 Kbits/sec    2    173 KBytes       
[2022-12-01 13:26:05.045230] [  4] 107.00-108.00 sec  0.00 Bytes  0.00 bits/sec    3    167 KBytes       
[2022-12-01 13:26:06.045270] [  4] 108.00-109.00 sec  0.00 Bytes  0.00 bits/sec    9    156 KBytes       
[2022-12-01 13:26:07.045649] [  4] 109.00-110.00 sec  0.00 Bytes  0.00 bits/sec    3    151 KBytes       
[2022-12-01 13:26:08.045590] [  4] 110.00-111.00 sec  0.00 Bytes  0.00 bits/sec    5    140 KBytes       
