Time,Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB]
1669916011,4,343,344,0,0,0,0.00283
1669916012,4,344,345,0,0,0,0.00283
1669916013,4,345,346,0,0,0,0.00283
1669916014,4,346,347,0,0,0,0.00283
1669916015,4,347,348,0,0,0,0.00283
1669916016,4,348,349,0,0,0,0.00283
1669916017,4,349,350,0,0,0,0.00283
1669916018,4,350,351,0,0,0,0.00283
1669916019,4,351,352,0,0,0,0.00283
1669916020,4,352,353,0,0,0,0.00283
1669916021,4,353,354,0,0,0,0.00283
1669916022,4,354,355,0,0,0,0.00283
1669916023,4,355,356,0,0,0,0.00283
1669916024,4,356,357,0,0,0,0.00283
1669916025,4,357,358,0.191,1.56,11,0.00566
1669916026,4,358,359,0,0,0,0.00566
1669916027,4,359,360,0,0,0,0.00566
1669916028,4,360,361,0,0,0,0.00566
1669916029,4,361,362,0,0,0,0.00566
1669916030,4,362,363,0,0,0,0.00566
1669916031,4,363,364,0,0,0,0.00566
1669916032,4,364,365,0,0,0,0.00566
1669916033,4,365,366,0,0,0,0.00566
1669916034,4,366,367,0,0,0,0.00566
1669916035,4,367,368,0,0,0,0.00566
1669916036,4,368,369,0,0,0,0.00566
1669916037,4,369,370,0,0,1,0.00141
1669916038,4,370,371,0.0636,0.521,12,0.00566
1669916039,4,371,372,0.0636,0.521,14,0.00283
1669916040,4,372,373,0.0636,0.521,6,0.00283
1669916041,4,373,374,0,0,0,0.00283
1669916042,4,374,375,0,0,0,0.00283
1669916043,4,375,376,0,0,0,0.00283
1669916044,4,376,377,0,0,0,0.00283
1669916045,4,377,378,0,0,0,0.00283
1669916046,4,378,379,0,0,0,0.00283
1669916047,4,379,380,0,0,0,0.00283
1669916048,4,380,381,0,0,0,0.00283
1669916049,4,381,382,0,0,0,0.00283
1669916050,4,382,383,0,0,0,0.00283
1669916051,4,383,384,0,0,10,0.00424
1669916052,4,384,385,0.127,1.04,35,0.0099
1669916053,4,385,386,0.127,1.04,43,0.00707
1669916054,4,386,387,0.0636,0.521,0,0.0113
1669916055,4,387,388,0.0636,0.521,2,0.0113
1669916056,4,388,389,0.127,1.04,0,0.0156
1669916057,4,389,390,0.127,1.04,0,0.0212
1669916058,4,390,391,0.127,1.04,0,0.0269
1669916059,4,391,392,0.191,1.56,0,0.0311
1669916060,4,392,393,0.127,1.04,0,0.0339
1669916061,4,393,394,0.127,1.04,0,0.0551
1669916062,4,394,395,0.191,1.56,0,0.0863
1669916063,4,395,396,0.0636,0.521,0,0.123
1669916064,4,396,397,0.127,1.04,0,0.182
1669916065,4,397,398,0.127,1.04,0,0.242
1669916066,4,398,399,0.0636,0.521,0,0.315
1669916067,4,399,400,0.127,1.04,0,0.379
1669916068,4,400,401,0.0636,0.521,0,0.438
1669916069,4,401,402,0.0636,0.521,0,0.472
1669916070,4,402,403,0.127,1.04,0,0.533
1669916071,4,403,404,0,0,29,0.482
1669916072,4,404,405,0,0,42,0.397
1669916073,4,405,406,0,0,37,0.339
1669916074,4,406,407,0,0,24,0.366
1669916075,4,407,408,0.191,1.56,0,0.366
1669916076,4,408,409,0.127,1.04,0,0.366
1669916077,4,409,410,0.191,1.56,0,0.366
1669916078,4,410,411,0.191,1.57,0,0.368
1669916079,4,411,412,0.0636,0.521,1,0.368
1669916080,4,412,413,0,0,0,0.346
1669916081,4,413,414,0,0,0,0.329
1669916082,4,414,415,0,0,0,0.315
1669916083,4,415,416,0.0636,0.521,0,0.296
1669916084,4,416,417,0,0,4,0.269
1669916085,4,417,418,0,0,6,0.259
1669916086,4,418,419,0,0,0,0.259
1669916087,4,419,420,0,0,0,0.259
1669916088,4,420,421,0,0,0,0.259
1669916089,4,421,422,0,0,0,0.259
1669916090,4,422,423,0,0,0,0.259
1669916091,4,423,424,0,0,0,0.259
1669916092,4,424,425,0.636,5.21,0,0.25
1669916093,4,425,426,0,0,0,0.242
1669916094,4,426,427,0.0636,0.521,1,0.229
1669916095,4,427,428,0,0,3,0.218
1669916096,4,428,429,0,0,0,0.209
