Time,Iperf Svr ID,Iperf Svr Interval Start [sec],Iperf Svr Interval End [sec],Iperf Svr Transfer [MB],Iperf Svr Bandwidth [Mbps]
1669916022,5,354,355,0,0
1669916023,5,355,356,0,0
1669916024,5,356,357,0,0
1669916025,5,357,358,0.189,1.55
1669916026,5,358,359,0,0
1669916027,5,359,360,0,0
1669916028,5,360,361,0,0
1669916029,5,361,362,0,0
1669916030,5,362,363,0,0
1669916031,5,363,364,0,0
1669916032,5,364,365,0,0
1669916033,5,365,366,0,0
1669916034,5,366,367,0,0
1669916035,5,367,368,0,0
1669916036,5,368,369,0,0
1669916037,5,369,370,0,0
1669916038,5,370,371,0.0481,0.394
1669916039,5,371,372,0.0368,0.301
1669916040,5,372,373,0.0269,0.22
1669916041,5,373,374,0,0
1669916042,5,374,375,0,0
1669916043,5,375,376,0,0
1669916044,5,376,377,0,0
1669916045,5,377,378,0,0
1669916046,5,378,379,0,0
1669916047,5,379,380,0,0
1669916048,5,380,381,0,0
1669916049,5,381,382,0,0
1669916050,5,382,383,0,0
1669916051,5,383,384,0.0127,0.104
1669916052,5,384,385,0.0679,0.556
1669916053,5,385,386,0.0749,0.614
1669916054,5,386,387,0.0778,0.637
1669916055,5,387,388,0.0495,0.405
1669916056,5,388,389,0.113,0.927
1669916057,5,389,390,0.126,1.03
1669916058,5,390,391,0.168,1.38
1669916059,5,391,392,0.164,1.34
1669916060,5,392,393,0.156,1.27
1669916061,5,393,394,0.154,1.26
1669916062,5,394,395,0.148,1.22
1669916063,5,395,396,0.129,1.05
1669916064,5,396,397,0.144,1.18
1669916065,5,397,398,0.119,0.973
1669916066,5,398,399,0.146,1.19
1669916067,5,399,400,0.129,1.05
1669916068,5,400,401,0.12,0.985
1669916069,5,401,402,0.0919,0.753
1669916070,5,402,403,0.0947,0.776
1669916071,5,403,404,0.0438,0.359
1669916072,5,404,405,0,0
1669916073,5,405,406,0,0
1669916074,5,406,407,0.0467,0.383
1669916075,5,407,408,0.188,1.54
1669916076,5,408,409,0.148,1.22
1669916077,5,409,410,0.133,1.09
1669916078,5,410,411,0.191,1.57
1669916079,5,411,412,0.0396,0.324
1669916080,5,412,413,0,0
1669916081,5,413,414,0,0
1669916082,5,414,415,0,0
1669916083,5,415,416,0,0
1669916084,5,416,417,0,0
1669916085,5,417,418,0,0
1669916086,5,418,419,0,0
1669916087,5,419,420,0,0
1669916088,5,420,421,0,0
1669916089,5,421,422,0,0
1669916090,5,422,423,0,0
1669916091,5,423,424,0,0
1669916092,5,424,425,0.653,5.36
1669916093,5,425,426,0.0311,0.255
1669916094,5,426,427,0.0255,0.208
1669916095,5,427,428,0,0
1669916096,5,428,429,0,0
1669916097,5,429,430,0,0
1669916098,5,430,431,0,0
1669916099,5,431,432,0,0
1669916100,5,432,433,0,0
1669916101,5,433,434,0,0
1669916102,5,434,435,0.0184,0.151
1669916103,5,435,436,0.00141,0.0116
1669916104,5,436,437,0,0
1669916105,5,437,438,0,0
1669916106,5,438,439,0,0
1669916107,5,439,440,0,0
1669916108,5,440,441,0,0
1669916109,5,441,442,0,0
1669916110,5,442,443,0,0
1669916111,5,443,444,0,0
1669916112,5,444,445,0,0
1669916113,5,445,446,0,0
1669916114,5,446,447,0,0
1669916115,5,447,448,0,0
1669916116,5,448,449,0,0
1669916117,5,449,450,0.0141,0.116
1669916118,5,450,451,0,0
1669916119,5,451,452,0,0
1669916120,5,452,453,0,0
1669916121,5,453,454,0,0
1669916122,5,454,455,0,0
1669916123,5,455,456,0,0
1669916124,5,456,457,0,0
1669916125,5,457,458,0,0
1669916126,5,458,459,0,0
1669916127,5,459,460,0,0
1669916128,5,460,461,0,0
1669916129,5,461,462,0,0
1669916130,5,462,463,0,0
1669916131,5,463,464,0,0
1669916132,5,464,465,0,0
1669916133,5,465,466,0,0
1669916134,5,466,467,0,0
1669916135,5,467,468,0,0
1669916136,5,468,469,0,0
1669916137,5,469,470,0,0
1669916138,5,470,471,0,0
1669916139,5,471,472,0,0
1669916140,5,472,473,0,0
1669916141,5,473,474,0,0
1669916142,5,474,475,0,0
1669916143,5,475,476,0,0
1669916144,5,476,477,0,0
1669916145,5,477,478,0,0
1669916146,5,478,479,0,0
1669916147,5,479,480,0,0
1669916148,5,480,481,0,0
1669916149,5,481,482,0,0
1669916150,5,482,483,0,0
1669916151,5,483,484,0,0
1669916152,5,484,485,0,0
1669916153,5,485,486,0,0
1669916154,5,486,487,0,0
1669916155,5,487,488,0,0
1669916156,5,488,489,0,0
1669916157,5,489,490,0,0
1669916158,5,490,491,0,0
1669916159,5,491,492,0,0
1669916160,5,492,493,0,0
1669916161,5,493,494,0,0
1669916162,5,494,495,0,0
1669916163,5,495,496,0,0
1669916164,5,496,497,0,0
1669916165,5,497,498,0,0
1669916166,5,498,499,0,0
1669916167,5,499,500,0,0
1669916168,5,500,501,0,0
1669916169,5,501,502,0,0
1669916170,5,502,503,0,0
1669916171,5,503,504,0,0
1669916172,5,504,505,0,0
1669916173,5,505,506,0,0
1669916174,5,506,507,0,0
1669916175,5,507,508,0,0
1669916176,5,508,509,0,0
1669916177,5,509,510,0,0
1669916178,5,510,511,0,0
1669916179,5,511,512,0,0
1669916180,5,512,513,0,0
1669916181,5,513,514,0,0
1669916182,5,514,515,0,0
1669916183,5,515,516,0,0
1669916184,5,516,517,0,0
1669916185,5,517,518,0,0
1669916186,5,518,519,0,0
1669916187,5,519,520,0,0
1669916188,5,520,521,0,0
1669916189,5,521,522,0,0
1669916190,5,522,523,0,0
1669916191,5,523,524,0,0
1669916192,5,524,525,0,0
1669916193,5,525,526,0,0
1669916194,5,526,527,0,0
1669916195,5,527,528,0,0
1669916196,5,528,529,0,0
1669916197,5,529,530,0,0
1669916198,5,530,531,0,0
1669916199,5,531,532,0,0
1669916200,5,532,533,0,0
1669916201,5,533,534,0,0
1669916202,5,534,535,0,0
1669916203,5,535,536,0,0
1669916204,5,536,537,0,0
1669916205,5,537,538,0,0
1669916206,5,538,539,0,0
1669916207,5,539,540,0,0
1669916208,5,540,541,0,0
1669916209,5,541,542,0,0
1669916210,5,542,543,0,0
1669916211,5,543,544,0,0
1669916212,5,544,545,0,0
1669916213,5,545,546,0,0
1669916214,5,546,547,0,0
1669916215,5,547,548,0,0
1669916216,5,548,549,0,0
1669916217,5,549,550,0,0
1669916218,5,550,551,0,0
1669916219,5,551,552,0,0
1669916220,5,552,553,0,0
1669916221,5,553,554,0,0
1669916222,5,554,555,0,0
1669916223,5,555,556,0,0
1669916224,5,556,557,0,0
1669916225,5,557,558,0,0
1669916226,5,558,559,0,0
1669916227,5,559,560,0,0
1669916228,5,560,561,0,0
1669916229,5,561,562,0,0
1669916230,5,562,563,0,0
1669916231,5,563,564,0,0
1669916232,5,564,565,0,0
1669916233,5,565,566,0,0
1669916234,5,566,567,0,0
1669916235,5,567,568,0,0
1669916236,5,568,569,0,0
1669916237,5,569,570,0,0
1669916238,5,570,571,0,0
1669916239,5,571,572,0,0
1669916240,5,572,573,0,0
1669916241,5,573,574,0,0
1669916242,5,574,575,0,0
1669916243,5,575,576,0,0
1669916244,5,576,577,0,0
1669916245,5,577,578,0,0
1669916246,5,578,579,0,0
1669916247,5,579,580,0,0
1669916248,5,580,581,0,0
1669916249,5,581,582,0,0
1669916250,5,582,583,0,0
1669916251,5,583,584,0,0
1669916252,5,584,585,0,0
1669916253,5,585,586,0,0
1669916254,5,586,587,0,0
1669916255,5,587,588,0,0
1669916256,5,588,589,0,0
1669916257,5,589,590,0,0
1669916258,5,590,591,0,0
1669916259,5,591,592,0,0
1669916260,5,592,593,0,0
1669916261,5,593,594,0,0
1669916262,5,594,595,0,0
1669916263,5,595,596,0,0
1669916264,5,596,597,0,0
1669916265,5,597,598,0,0
1669916266,5,598,599,0,0
1669916267,5,599,600,0,0
1669916268,5,600,601,0,0
1669916269,5,601,602,0,0
1669916270,5,602,603,0,0
1669916271,5,603,604,0,0
1669916272,5,604,605,0,0
1669916273,5,605,606,0,0
1669916274,5,606,607,0.119,0.974
1669916275,5,607,608,0,0
1669916276,5,608,609,0,0
1669916277,5,609,610,0,0
1669916278,5,610,611,0,0
1669916279,5,611,612,0,0
1669916280,5,612,613,0,0
1669916281,5,613,614,0,0
1669916282,5,614,615,0,0
1669916283,5,615,616,0,0
1669916284,5,616,617,0.0339,0.278
1669916285,5,617,618,0,0
1669916286,5,618,619,0,0
1669916287,5,619,620,0,0
1669916288,5,620,621,0,0
1669916289,5,621,622,0,0
1669916290,5,622,623,0,0
1669916291,5,623,624,0,0
1669916292,5,624,625,0,0
1669916293,5,625,626,0.00707,0.058
1669916294,5,626,627,0,0
1669916295,5,627,628,0,0
1669916296,5,628,629,0,0
1669916297,5,629,630,0,0
1669916298,5,630,631,0,0
1669916299,5,631,632,0,0
1669916300,5,632,633,0,0
1669916301,5,633,634,0,0
1669916302,5,634,635,0.017,0.139
1669916303,5,635,636,0,0
1669916304,5,636,637,0,0
1669916305,5,637,638,0,0
1669916306,5,638,639,0,0
1669916307,5,639,640,0,0
