Time,Iperf Svr ID,Iperf Svr Interval Start [sec],Iperf Svr Interval End [sec],Iperf Svr Transfer [MB],Iperf Svr Bandwidth [Mbps]
1669919117,5,59,60,0.696,5.7
1669919118,5,60,61,0.451,3.7
1669919119,5,61,62,0.399,3.27
1669919120,5,62,63,0.39,3.2
1669919121,5,63,64,0.403,3.3
1669919122,5,64,65,0.393,3.22
1669919123,5,65,66,0.354,2.9
1669919124,5,66,67,0.314,2.57
1669919125,5,67,68,0.31,2.54
1669919126,5,68,69,0.283,2.32
1669919127,5,69,70,0.226,1.85
1669919128,5,70,71,0.161,1.32
1669919129,5,71,72,0,0
1669919130,5,72,73,0.269,2.2
1669919131,5,73,74,0.414,3.39
1669919132,5,74,75,0,0
1669919133,5,75,76,0.403,3.3
1669919134,5,76,77,0.173,1.41
1669919135,5,77,78,0.175,1.44
1669919136,5,78,79,0.151,1.24
1669919137,5,79,80,0.124,1.02
1669919138,5,80,81,0.127,1.04
1669919139,5,81,82,0.0707,0.577
1669919140,5,82,83,0.117,0.966
1669919141,5,83,84,0.0749,0.614
1669919142,5,84,85,0.0933,0.765
1669919143,5,85,86,0.082,0.671
1669919144,5,86,87,0,0
1669919145,5,87,88,0,0
1669919146,5,88,89,0,0
1669919147,5,89,90,0,0
1669919148,5,90,91,0,0
1669919149,5,91,92,0.332,2.72
1669919150,5,92,93,0.0481,0.394
1669919151,5,93,94,0.0438,0.359
1669919152,5,94,95,0.0382,0.313
1669919153,5,95,96,0.0198,0.162
1669919154,5,96,97,0,0
1669919155,5,97,98,0,0
1669919156,5,98,99,0,0
1669919157,5,99,100,0,0
1669919158,5,100,101,0,0
1669919159,5,101,102,0,0
1669919160,5,102,103,0,0
1669919161,5,103,104,0.0608,0.498
1669919162,5,104,105,0.0495,0.406
1669919163,5,105,106,0,0
1669919164,5,106,107,0.0665,0.544
1669919165,5,107,108,0,0
1669919166,5,108,109,0,0
1669919167,5,109,110,0,0
1669919168,5,110,111,0,0
1669919169,5,111,112,0,0
1669919170,5,112,113,0,0
1669919171,5,113,114,0,0
1669919172,5,114,115,0,0
1669919173,5,115,116,0,0
1669919174,5,116,117,0.00707,0.058
1669919175,5,117,118,0,0
1669919176,5,118,119,0,0
1669919177,5,119,120,0,0
1669919178,5,120,121,0,0
1669919179,5,121,122,0,0
1669919180,5,122,123,0,0
1669919181,5,123,124,0,0
1669919182,5,124,125,0.0537,0.44
1669919183,5,125,126,0,0
1669919184,5,126,127,0,0
1669919185,5,127,128,0,0
1669919186,5,128,129,0,0
1669919187,5,129,130,0,0
1669919188,5,130,131,0,0
1669919189,5,131,132,0,0
1669919190,5,132,133,0,0
1669919191,5,133,134,0,0
1669919192,5,134,135,0,0
1669919193,5,135,136,0,0
1669919194,5,136,137,0,0
1669919195,5,137,138,0,0
1669919196,5,138,139,0,0
1669919197,5,139,140,0,0
1669919198,5,140,141,0,0
1669919199,5,141,142,0,0
1669919200,5,142,143,0,0
1669919201,5,143,144,0,0
1669919202,5,144,145,0,0
1669919203,5,145,146,0,0
1669919204,5,146,147,0,0
1669919205,5,147,148,0,0
1669919206,5,148,149,0,0
1669919207,5,149,150,0,0
1669919208,5,150,151,0,0
1669919209,5,151,152,0,0
1669919210,5,152,153,0,0
1669919211,5,153,154,0,0
1669919212,5,154,155,0,0
1669919213,5,155,156,0,0
1669919214,5,156,157,0,0
1669919215,5,157,158,0,0
1669919216,5,158,159,0,0
1669919217,5,159,160,0,0
1669919218,5,160,161,0,0
1669919219,5,161,162,0,0
1669919220,5,162,163,0,0
1669919221,5,163,164,0,0
1669919222,5,164,165,0,0
1669919223,5,165,166,0,0
1669919224,5,166,167,0,0
1669919225,5,167,168,0,0
1669919226,5,168,169,0,0
1669919227,5,169,170,0,0
1669919228,5,170,171,0,0
1669919229,5,171,172,0,0
1669919230,5,172,173,0,0
1669919231,5,173,174,0,0
1669919232,5,174,175,0,0
1669919233,5,175,176,0,0
1669919234,5,176,177,0,0
1669919235,5,177,178,0,0
1669919236,5,178,179,0,0
1669919237,5,179,180,0,0
1669919238,5,180,181,0,0
1669919239,5,181,182,0,0
