num,Longitude,Latitude,Altitude,Volt,Battery Level,time,Fix,Number of Satellite,thoughput
52,-78.6967722,35.7274327,25.002,12.193,92,41:41.7,6,10,6.52
53,-78.6968202,35.727431,25.002,12.193,92,41:42.7,6,10,4.32
54,-78.69687,35.727429,25.004,12.193,91,41:43.7,6,10,7.00
55,-78.6969193,35.7274268,25.007,12.242,91,41:44.7,6,10,4.82
56,-78.6969638,35.7274247,25.008,12.242,91,41:45.7,6,10,4.67
57,-78.6969985,35.7274229,25.005,12.242,91,41:46.7,6,10,3.95
58,-78.6970215,35.7274218,24.999,12.242,91,41:47.7,6,10,3.83
59,-78.6970448,35.7274204,24.989,12.242,91,41:48.7,6,10,3.70
60,-78.6970757,35.7274187,24.988,12.193,90,41:49.7,6,10,3.49
61,-78.6971137,35.7274168,24.992,12.193,90,41:50.7,6,10,3.02
62,-78.6971566,35.7274146,24.996,12.193,90,41:51.7,6,10,2.94
63,-78.697203,35.7274119,25,12.193,90,41:52.7,6,10,2.36
64,-78.6972509,35.7274089,25.004,12.242,90,41:53.7,6,10,2.06
65,-78.6972964,35.7274057,25.005,12.242,89,41:54.7,6,10,1.82
66,-78.6973345,35.7274027,25.002,12.242,89,41:55.7,6,10,1.69
67,-78.6973608,35.7274005,25,12.242,89,41:56.7,6,10,1.63
68,-78.6973835,35.727398,24.991,12.242,89,41:57.7,6,10,1.74
69,-78.6974127,35.7273948,24.991,12.242,89,41:58.7,6,10,1.30
70,-78.6974491,35.727391,24.994,12.193,89,41:59.7,6,10,1.42
71,-78.6974907,35.7273867,24.998,12.193,88,42:00.7,6,10,1.20
72,-78.6975361,35.7273819,25,12.193,88,42:01.7,6,10,0.00
73,-78.6975841,35.7273765,25.002,12.193,88,42:02.7,6,10,0.00
74,-78.6976337,35.7273707,25.002,12.193,88,42:03.7,6,10,1.48
75,-78.6976845,35.7273646,25.001,12.193,88,42:04.7,6,10,1.41
76,-78.6977363,35.7273583,25.001,12.193,88,42:05.7,6,10,.949
77,-78.6977885,35.727352,25.002,12.193,87,42:06.7,6,10,1.61
78,-78.6978397,35.7273459,25.005,12.242,87,42:07.7,6,10,0.00
79,-78.697886,35.7273403,25.006,12.242,87,42:08.7,6,10,1.31
80,-78.6979225,35.727336,25.005,12.242,87,42:09.7,6,10,1.05
81,-78.6979461,35.7273334,25.003,12.242,87,42:10.7,6,10,0.00
82,-78.6979572,35.7273376,24.995,12.242,86,42:11.7,6,10,0.00
83,-78.6979645,35.7273511,24.99,12.242,86,42:12.7,6,10,.846
84,-78.6979745,35.7273731,24.988,12.193,86,42:13.7,6,10,1.10
85,-78.6979885,35.7274015,24.991,12.193,86,42:14.7,6,10,0.00
86,-78.6980059,35.7274339,24.996,12.193,86,42:15.7,6,10,1.60
87,-78.6980255,35.7274687,24.996,12.193,86,42:16.7,6,10,.764
88,-78.6980466,35.727505,24.999,12.193,85,42:17.7,6,10,1.26
89,-78.6980685,35.7275423,25.001,12.193,85,42:18.7,6,10,.197
90,-78.6980907,35.7275804,25.001,12.193,85,42:19.7,6,10,.556
91,-78.6981132,35.7276189,25.002,12.193,85,42:20.7,6,10,.660
92,-78.6981357,35.7276579,25.001,12.193,85,42:21.7,6,10,.324
93,-78.6981583,35.7276972,25.001,12.193,84,42:22.7,6,10,1.22
94,-78.6981808,35.7277368,25.001,12.193,84,42:23.7,6,10,.313
95,-78.6982034,35.7277766,25.001,12.193,84,42:24.7,6,10,.672
96,-78.6982261,35.7278167,25.001,12.193,84,42:25.7,6,10,.278
97,-78.6982489,35.727857,24.999,12.193,84,42:26.7,6,10,.116
98,-78.6982717,35.7278974,24.999,12.193,84,42:27.7,6,10,.081
99,-78.6982946,35.727938,24.998,12.193,83,42:28.7,6,10,0.00
100,-78.6983176,35.7279785,24.998,12.193,83,42:29.7,6,10,0.00
101,-78.6983406,35.7280192,24.998,12.193,83,42:30.7,6,10,.058
102,-78.6983637,35.7280598,24.997,12.193,83,42:31.7,6,10,.127
103,-78.6983868,35.7281005,24.996,12.193,83,42:32.7,6,10,0.00
104,-78.69841,35.7281411,24.995,12.193,82,42:33.7,6,10,0.00
105,-78.6984331,35.7281818,24.996,12.193,82,42:34.7,6,10,0.12
