Time,Number,Longitude,Latitude,Altitude,Voltage,Battery Level,Fix,Number of Satellites,UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%],eNB rnti,eNB DL cqi,eNB DL ri,eNB DL mcs,eNB DL brate [Mbps],eNB DL ACK,eNB DL NACK,eNB DL NACK:ACK [%],eNB UL pusch,eNB UL pucch,eNB UL phr,eNB UL mcs,eNB UL brate [Mbps],eNB UL ACK,eNB UL NACK,eNB UL NACK:ACK [%],eNB UL bsr [kilo]
1670626550,59,-78.6965298,35.7269359,49.998,12.193,90,6,10,0,1,-87,87,5.5,0,40,0,0,0,2.6,23,0,7.7,0,46,15,2,0,0,0,0,0,58.8,26.4,40,22,7.7,73,0,0,0
1670626551,60,-78.6965283,35.7269038,49.997,12.193,90,6,10,0,1,-87,87,6.3,0,40,0,0,0,2.6,22,0,8.3,0,46,15,2,0,0,0,0,0,58.8,27,40,23,7.1,66,0,0,0
1670626552,61,-78.6965263,35.7268606,49.996,12.193,90,6,10,0,1,-87,87,6.5,0,40,0,0,0,2.6,22,17,8.4,0,46,15,0,0,0,0,0,0,58.3,35.3,40,22,7.8,73,0,0,5.11
1670626553,62,-78.6965237,35.7268062,49.996,12.193,90,6,10,0,1,-87,87,5.7,0,40,0,0,0,2.6,22,0,8.9,0,46,15,2,0,0,0,0,0,58.3,35.5,40,22,9.8,89,0,0,0
1670626554,63,-78.6965216,35.7267622,49.997,12.193,90,6,10,0,1,-87,87,5.3,0,40,0,0,0,2.6,22,0,7.3,0,46,15,0,0,0,0,0,0,58.7,27.9,40,22,7.9,71,0,0,0
1670626555,64,-78.6965196,35.7267182,49.995,12.193,89,6,10,0,1,-87,87,6.1,0,40,0,0,0,2.6,22,2.1,7.9,0,46,15,2,0,0,0,0,0,58.6,30.5,40,22,9.1,82,0,0,0
1670626556,65,-78.6965176,35.7266738,49.994,12.193,89,6,10,0,1,-87,87,6.2,0,40,0,0,0,2.6,22,0,8.8,0,46,15,2,0,0,0,0,0,58.9,24,40,23,6.8,61,0,0,0
1670626557,66,-78.6965156,35.7266295,49.996,12.193,89,6,10,0,1,-87,87,6.5,0,40,0,0,0,2.6,22,0,7.8,0,46,15,0,0,0,0,0,0,58.5,29.1,40,22,8.4,76,0,0,0
1670626558,67,-78.6965137,35.7265848,49.996,12.193,89,6,10,0,1,-87,87,6.3,0,40,0,0,0,2.6,22,17,8.1,0,46,15,2,0,0,0,0,0,58.9,26.7,40,23,8.3,76,0,0,0
1670626559,68,-78.6965117,35.7265403,49.997,12.193,89,6,10,0,1,-87,87,5.8,0,40,0,0,0,2.6,22,17,9.1,0,46,15,0,0,0,0,0,0,58.5,33.8,40,22,8.3,74,0,0,0
1670626560,69,-78.6965097,35.7264956,49.997,12.193,88,6,10,0,1,-87,87,6.6,0,40,0,0,0,2.6,22,0,7.9,0,46,15,2,0,0,0,0,0,58.3,28.6,40,22,8.8,79,0,0,0
1670626561,70,-78.6965077,35.726451,49.998,12.193,88,6,10,0,1,-87,87,6.1,0,40,0,0,0,2.6,22,0,7.5,0,46,15,2,0,0,0,0,0,58.7,27.1,40,22,6.8,62,0,0,4.82
1670626562,71,-78.6965062,35.7264174,49.998,12.193,88,6,10,0,1,-87,87,6.1,0,40,0,0,0,2.6,22,17,8.3,0,46,15,0,0,0,0,0,0,58.3,28.1,40,22,8.7,82,0,0,0
1670626563,72,-78.6965037,35.7263617,49.997,12.193,88,6,10,0,1,-87,87,6.2,0,40,0,0,0,2.6,23,17,7.1,0,46,15,2,0,0,0,0,0,58.4,27,40,22,7,64,0,0,4.82
1670626564,73,-78.6965021,35.7263282,49.998,12.193,88,6,10,0,1,-87,87,5.8,0,40,0,0,0,2.6,22,22,7.8,0,46,15,0,0,0,0,0,0,58.6,29.7,40,23,8.5,77,0,0,243
1670626565,74,-78.6964996,35.7262726,49.999,12.193,88,6,10,0,1,-87,87,7,0,40,0,0,0,2.6,22,14,8,0,46,15,2,0,0,0,0,0,58.7,29.1,40,22,8.2,72,0,0,0
1670626566,75,-78.6964976,35.7262279,49.999,12.193,87,6,10,0,1,-87,87,5.4,0,40,0,0,0,2.6,22,17,8.6,0,46,15,2,0,0,0,0,0,58,35.7,40,22,8.8,85,0,0,0
1670626567,76,-78.6964956,35.7261835,50,12.193,87,6,10,0,1,-87,87,6,0,40,0,0,0,2.6,23,17,8.7,0,46,15,0,0,0,0,0,0,58.5,35.5,40,22,7.7,72,0,0,0
1670626568,77,-78.6964935,35.7261389,50,12.193,87,6,10,0,1,-87,87,6,0,40,0,0,0,2.6,23,25,6.2,0,46,15,2,0,0,0,0,0,58.7,31.8,40,23,8.5,79,0,0,0
1670626569,78,-78.696492,35.7261055,49.999,12.193,87,6,10,0,1,-87,87,5.6,0,40,0,0,0,2.6,22,17,9.1,0,46,15,0,0,0,0,0,0,58.3,31.2,40,22,7.6,71,0,0,0
1670626570,79,-78.69649,35.726061,50.001,12.193,87,6,10,0,1,-87,87,5.9,0,40,0,0,0,2.6,22,2.6,11,0,46,15,2,0,0,0,0,0,58.7,35.4,40,23,9.4,78,0,0,0
1670626571,80,-78.696488,35.7260164,50,12.193,87,6,10,0,1,-87,87,5.9,0,40,0,0,0,2.6,22,0,9.6,0,46,15,0,0,0,0,0,0,57,35.6,40,22,9.5,77,0,0,6.39
1670626572,81,-78.696486,35.7259718,49.999,12.193,86,6,10,0,1,-87,87,5.9,0,40,0,0,0,2.6,23,25,9.4,0,46,15,2,0,0,0,0,0,58.9,29.3,40,23,11,71,0,0,0
1670626573,82,-78.696484,35.7259272,49.999,12.193,86,6,10,0,1,-87,87,5.5,0,40,0,0,0,2.6,22,1.6,7.9,0,46,15,0,0,0,0,0,0,58.5,24.1,40,22,7.9,70,0,0,0
1670626574,83,-78.6964821,35.7258827,50,12.193,86,6,10,0,1,-87,87,6.3,0,40,0,0,0,2.6,22,25,8.8,0,46,15,2,0,0,0,0,0,58,28.8,40,22,7.6,73,0,0,0
1670626575,84,-78.6964801,35.725838,49.999,12.193,86,6,10,0,1,-87,87,5.9,0,40,0,0,0,2.6,22,8.3,8.5,0,46,15,0,0,0,0,0,0,58.1,27.7,40,22,8.6,81,0,0,8.79
1670626576,85,-78.6964781,35.7257936,49.997,12.193,86,6,10,0,1,-87,87,5.5,0,40,0,0,0,2.6,22,8.3,8.1,0,46,15,2,0,0,0,0,0,57.9,23.3,40,22,8.4,83,0,0,0
1670626577,86,-78.6964762,35.725749,49.997,12.193,85,6,10,0,1,-87,87,7,0,40,0,0,0,2.6,22,7.8,8.6,0,46,15,2,0,0,0,0,0,58.8,24.2,40,23,7.8,70,0,0,0
1670626578,87,-78.6964742,35.7257046,49.996,12.193,85,6,10,0,1,-87,87,6.1,0,40,0,0,0,2.6,22,17,7.5,0,46,15,0,0,0,0,0,0,58.1,25.9,40,22,8.1,80,0,0,0
1670626579,88,-78.6964722,35.7256601,49.997,12.193,85,6,10,0,1,-87,87,6.1,0,40,0,0,0,2.6,22,17,8.4,0,46,15,2,0,0,0,0,0,57.7,30.1,40,22,7.6,73,0,0,8.79
1670626580,89,-78.6964701,35.7256157,49.997,12.193,85,6,10,0,1,-87,87,5.9,0,40,0,0,0,2.6,22,0,7.2,0,46,15,0,0,0,0,0,0,58.3,25.5,40,22,7.7,73,0,0,0
1670626581,90,-78.6964681,35.7255712,49.997,12.193,85,6,10,0,1,-87,87,6,0,40,0,0,0,2.6,22,8.3,8.2,0,46,15,2,0,0,0,0,0,58.6,33.9,40,22,8.6,76,0,0,0
1670626582,91,-78.696466,35.7255268,49.996,12.193,85,6,10,0,1,-87,87,5.8,0,40,0,0,0,2.6,22,7.8,8.8,0,46,15,2,0,0,0,0,0,58.7,28.1,40,22,8.6,75,0,0,0
1670626583,92,-78.696464,35.7254823,49.997,12.193,84,6,10,0,1,-87,87,6.9,0,40,0,0,0,2.6,22,0,8,0,46,15,0,0,0,0,0,0,58.1,31.5,40,22,8.3,82,0,0,0
1670626584,93,-78.696462,35.725438,49.997,12.193,84,6,10,0,1,-87,87,6,0,40,0,0,0,2.6,22,0,8,0,46,15,2,0,0,0,0,0,58.4,25.2,40,23,7.9,70,0,0,0
1670626585,94,-78.69646,35.7253935,49.998,12.193,84,6,10,0,1,-87,87,5.7,0,40,0,0,0,2.6,22,0,8.2,0,46,15,0,0,0,0,0,0,58.4,33.1,40,22,7.3,67,0,0,5.93
1670626586,95,-78.696458,35.7253491,49.996,12.193,84,6,10,0,1,-87,87,6.6,0,40,0,0,0,2.6,22,0,8.8,0,46,15,2,0,0,0,0,0,58.1,24.7,40,22,8.6,81,0,0,0
1670626587,96,-78.6964559,35.7253046,49.995,12.193,84,6,10,0,1,-87,87,5.8,0,40,0,0,0,2.6,23,7.8,8,0,46,15,0,0,0,0,0,0,58.5,30.5,40,22,8.9,79,0,0,0
1670626588,97,-78.696454,35.7252603,49.996,12.193,83,6,10,0,1,-87,87,5.9,0,40,0,0,0,2.6,22,0,8.1,0,46,15,2,0,0,0,0,0,58.4,28.2,40,22,7.6,72,0,0,0
1670626589,98,-78.696452,35.7252158,49.997,12.193,83,6,10,0,1,-87,87,6.5,0,40,0,0,0,2.6,22,0,8.4,0,46,15,2,0,0,0,0,0,58.2,25.5,40,22,8.5,81,0,0,0
1670626590,99,-78.69645,35.7251714,49.999,12.193,83,6,10,0,1,-87,87,6.1,0,40,0,0,0,2.6,22,6.5,7.1,0,46,15,0,0,0,0,0,0,58.6,35.5,40,22,8.4,75,0,0,0
1670626591,100,-78.696448,35.725127,49.998,12.193,83,6,10,0,1,-87,87,6.6,0,40,0,0,0,2.6,22,17,8.9,0,46,15,2,0,0,0,0,0,57.7,28.8,40,22,7.4,73,0,0,0
1670626592,101,-78.696446,35.7250827,50,12.193,83,6,10,0,1,-87,87,7.2,0,40,0,0,0,2.6,22,17,8.1,0,46,15,0,0,0,0,0,0,57.6,29.6,40,22,7,69,0,0,4.82
1670626593,102,-78.6964439,35.7250382,50.001,12.193,83,6,10,0,1,-87,87,7.1,0,40,0,0,0,2.6,22,17,8.6,0,46,15,2,0,0,0,0,0,58.3,35.2,40,22,9.6,89,0,0,0
1670626594,103,-78.6964419,35.724994,50.002,12.193,82,6,10,0,1,-87,87,5.7,0,40,0,0,0,2.6,22,17,8.2,0,46,15,2,0,0,0,0,0,58.5,23.3,40,22,8.5,81,0,0,0
1670626595,104,-78.6964399,35.7249497,50.003,12.193,82,6,10,0,1,-87,87,5.9,0,40,0,0,0,2.6,22,17,7.3,0,46,15,0,0,0,0,0,0,58.8,30.2,40,23,8.1,70,0,0,0
1670626596,105,-78.6964379,35.7249053,50.003,12.193,82,6,10,0,1,-87,87,5.8,0,40,0,0,0,2.6,22,0,9.1,0,46,15,2,0,0,0,0,0,58.3,36,40,22,8.1,80,0,0,0
1670626597,106,-78.696436,35.7248609,50.003,12.193,82,6,10,0,1,-87,87,5.7,0,40,0,0,0,2.6,22,17,8,0,46,15,0,0,0,0,0,0,58.3,24.2,40,22,6.8,62,0,0,12.6
1670626598,107,-78.696434,35.7248166,50.003,12.193,82,6,10,0,1,-87,87,6.6,0,40,0,0,0,2.6,22,17,7.2,0,46,15,2,0,0,0,0,0,58.6,28.1,40,22,8.5,77,0,0,5.84
1670626599,108,-78.696432,35.7247722,50.003,12.193,81,6,10,0,1,-87,87,6.1,0,40,0,0,0,2.6,22,17,8.1,0,46,15,2,0,0,0,0,0,58.5,35.5,40,22,8.1,76,0,0,0
1670626600,109,-78.6964299,35.7247277,50.003,12.193,81,6,10,0,1,-87,87,6.8,0,40,0,0,0,2.6,22,27,6.2,0,46,15,0,0,0,0,0,0,58.4,31.2,40,22,8.1,74,0,0,0
1670626601,110,-78.6964279,35.7246833,50.003,12.193,81,6,10,0,1,-87,87,6.3,0,40,0,0,0,2.6,22,17,8.9,0,46,15,2,0,0,0,0,0,58.2,28.9,40,22,7.2,68,0,0,0
1670626602,111,-78.6964258,35.7246389,50.003,12.193,81,6,10,0,1,-87,87,6.2,0,40,0,0,0,2.6,22,11,7.3,0,46,15,0,0,0,0,0,0,58.2,35.5,40,22,8.2,82,0,0,0
1670626603,112,-78.6964239,35.7245947,50.002,12.193,81,6,10,0,1,-87,87,5.8,0,40,0,0,0,2.6,23,17,8.2,0,46,15,2,0,0,0,0,0,58.7,31.6,40,23,8,73,0,0,0
1670626604,113,-78.6964219,35.7245503,50,12.193,81,6,10,0,1,-87,87,5.8,0,40,0,0,0,2.6,23,0,7,0,46,15,2,0,0,0,0,0,58.8,31.1,40,23,7.4,68,0,0,0
1670626605,114,-78.69642,35.7245062,49.999,12.193,80,6,10,0,1,-87,87,5.7,0,40,0,0,0,2.6,22,17,8.5,0,46,15,0,0,0,0,0,0,58.8,29.7,40,23,8.3,76,0,0,0
1670626606,115,-78.696418,35.7244619,50,12.193,80,6,10,0,1,-87,87,6.9,0,40,0,0,0,2.6,23,25,8.3,0,46,15,2,0,0,0,0,0,58.1,24.7,40,22,7.4,75,0,0,0
1670626607,116,-78.696416,35.7244177,50,12.193,80,6,10,0,1,-87,87,6.5,0,40,0,0,0,2.6,22,0,7.4,0,46,15,0,0,0,0,0,0,58.4,35.5,40,22,7.6,71,0,0,0
1670626608,117,-78.696414,35.7243733,50.001,12.193,80,6,10,0,1,-87,87,5.8,0,40,0,0,0,2.6,22,0,7.6,0,46,15,2,0,0,0,0,0,57.6,32.9,40,22,7.7,81,0,0,0
