[2022-12-09 22:48:54.875189] -----------------------------------------------------------
[2022-12-09 22:48:54.875264] Server listening on 5201
[2022-12-09 22:48:54.875296] -----------------------------------------------------------
[2022-12-09 22:49:17.304520] Accepted connection from 172.16.0.2, port 51354
[2022-12-09 22:49:17.573377] [  5] local 172.16.0.1 port 5201 connected to 172.16.0.2 port 51546
[2022-12-09 22:50:44.574442] [  5]  86.00-87.00  sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[2022-12-09 22:50:45.574396] [  5]  87.00-88.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:46.574348] [  5]  88.00-89.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:47.574545] [  5]  89.00-90.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:48.573643] [  5]  90.00-91.00  sec  80.6 KBytes   661 Kbits/sec    1   4.24 KBytes       
[2022-12-09 22:50:49.574219] [  5]  91.00-92.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:50.574352] [  5]  92.00-93.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:51.574225] [  5]  93.00-94.00  sec  0.00 Bytes  0.00 bits/sec    1   5.66 KBytes       
[2022-12-09 22:50:52.574573] [  5]  94.00-95.00  sec  0.00 Bytes  0.00 bits/sec    3   4.24 KBytes       
[2022-12-09 22:50:53.574268] [  5]  95.00-96.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:54.573663] [  5]  96.00-97.00  sec  77.8 KBytes   637 Kbits/sec    2   2.83 KBytes       
[2022-12-09 22:50:55.574398] [  5]  97.00-98.00  sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:56.574371] [  5]  98.00-99.00  sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[2022-12-09 22:50:57.574853] [  5]  99.00-100.00 sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[2022-12-09 22:50:58.574194] [  5] 100.00-101.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:50:59.574669] [  5] 101.00-102.00 sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[2022-12-09 22:51:00.574234] [  5] 102.00-103.00 sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[2022-12-09 22:51:01.574248] [  5] 103.00-104.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:02.573504] [  5] 104.00-105.00 sec  82.0 KBytes   672 Kbits/sec    1   4.24 KBytes       
[2022-12-09 22:51:03.574440] [  5] 105.00-106.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:04.575286] [  5] 106.00-107.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:05.574659] [  5] 107.00-108.00 sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[2022-12-09 22:51:06.574459] [  5] 108.00-109.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:07.574210] [  5] 109.00-110.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:08.574820] [  5] 110.00-111.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:09.574339] [  5] 111.00-112.00 sec  0.00 Bytes  0.00 bits/sec    3   2.83 KBytes       
[2022-12-09 22:51:10.574383] [  5] 112.00-113.00 sec  83.4 KBytes   683 Kbits/sec    1   4.24 KBytes       
[2022-12-09 22:51:11.574361] [  5] 113.00-114.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:12.574380] [  5] 114.00-115.00 sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[2022-12-09 22:51:13.574528] [  5] 115.00-116.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:14.574606] [  5] 116.00-117.00 sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[2022-12-09 22:51:15.574280] [  5] 117.00-118.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:16.575232] [  5] 118.00-119.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:17.574498] [  5] 119.00-120.00 sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[2022-12-09 22:51:18.574481] [  5] 120.00-121.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:19.573535] [  5] 121.00-122.00 sec  80.6 KBytes   661 Kbits/sec    1   5.66 KBytes       
[2022-12-09 22:51:20.574382] [  5] 122.00-123.00 sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[2022-12-09 22:51:21.574475] [  5] 123.00-124.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:22.574420] [  5] 124.00-125.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:23.574489] [  5] 125.00-126.00 sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[2022-12-09 22:51:24.574546] [  5] 126.00-127.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:25.574523] [  5] 127.00-128.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:26.574061] [  5] 128.00-129.00 sec  80.6 KBytes   661 Kbits/sec    2   2.83 KBytes       
[2022-12-09 22:51:27.574214] [  5] 129.00-130.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:28.574535] [  5] 130.00-131.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:29.574949] [  5] 131.00-132.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:30.574250] [  5] 132.00-133.00 sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[2022-12-09 22:51:31.574428] [  5] 133.00-134.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:32.574295] [  5] 134.00-135.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:33.574248] [  5] 135.00-136.00 sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[2022-12-09 22:51:34.573569] [  5] 136.00-137.00 sec  80.6 KBytes   661 Kbits/sec    2   2.83 KBytes       
[2022-12-09 22:51:35.574328] [  5] 137.00-138.00 sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[2022-12-09 22:51:36.574755] [  5] 138.00-139.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:37.574288] [  5] 139.00-140.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:38.574345] [  5] 140.00-141.00 sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[2022-12-09 22:51:39.573535] [  5] 141.00-142.00 sec  80.6 KBytes   661 Kbits/sec    1   2.83 KBytes       
[2022-12-09 22:51:40.574509] [  5] 142.00-143.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:41.574620] [  5] 143.00-144.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:42.575211] [  5] 144.00-145.00 sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[2022-12-09 22:51:43.574226] [  5] 145.00-146.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:44.573611] [  5] 146.00-147.00 sec  80.6 KBytes   661 Kbits/sec    1   4.24 KBytes       
[2022-12-09 22:51:45.574475] [  5] 147.00-148.00 sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[2022-12-09 22:51:46.574282] [  5] 148.00-149.00 sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
