Time,Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB]
1670644470,5,312,313,0,0,2,0.00283
1670644471,5,313,314,0,0,1,0.00424
1670644472,5,314,315,0,0,3,0.00141
1670644473,5,315,316,0.0806,0.661,1,0.00424
1670644474,5,316,317,0,0,2,0.00283
1670644475,5,317,318,0,0,1,0.00424
1670644476,5,318,319,0,0,2,0.00283
1670644477,5,319,320,0,0,2,0.00283
1670644478,5,320,321,0,0,2,0.00283
1670644479,5,321,322,0,0,2,0.00283
1670644480,5,322,323,0.0792,0.649,1,0.00424
1670644481,5,323,324,0,0,2,0.00283
1670644482,5,324,325,0,0,2,0.00424
1670644483,5,325,326,0,0,2,0.00283
1670644484,5,326,327,0,0,2,0.00141
1670644485,5,327,328,0,0,1,0.00283
1670644486,5,328,329,0,0,2,0.00283
1670644487,5,329,330,0.0778,0.637,1,0.00424
1670644488,5,330,331,0,0,2,0.00283
1670644489,5,331,332,0,0,1,0.00566
1670644490,5,332,333,0,0,3,0.00424
1670644491,5,333,334,0,0,2,0.00283
1670644492,5,334,335,0,0,2,0.00283
1670644493,5,335,336,0,0,2,0.00283
1670644494,5,336,337,0.0778,0.637,1,0.00283
1670644495,5,337,338,0,0,2,0.00283
1670644496,5,338,339,0,0,2,0.00283
1670644497,5,339,340,0,0,2,0.00141
1670644498,5,340,341,0,0,1,0.00283
1670644499,5,341,342,0,0,2,0.00566
1670644500,5,342,343,0,0,2,0.00283
1670644501,5,343,344,0,0,1,0.00283
1670644502,5,344,345,0,0,1,0.00424
1670644503,5,345,346,0,0,1,0.00283
1670644504,5,346,347,0,0,1,0.00283
1670644505,5,347,348,0,0,1,0.00283
1670644506,5,348,349,0.0792,0.649,2,0.00141
1670644507,5,349,350,0,0,1,0.00283
1670644508,5,350,351,0,0,2,0.00283
1670644509,5,351,352,0,0,1,0.00283
1670644510,5,352,353,0,0,2,0.00283
1670644511,5,353,354,0,0,1,0.00283
1670644512,5,354,355,0,0,1,0.00424
1670644513,5,355,356,0,0,2,0.00424
1670644514,5,356,357,0.0806,0.661,1,0.00566
1670644515,5,357,358,0,0,1,0.00424
1670644516,5,358,359,0,0,2,0.00424
1670644517,5,359,360,0,0,2,0.00283
1670644518,5,360,361,0,0,1,0.00424
1670644519,5,361,362,0,0,2,0.00424
1670644520,5,362,363,0.0806,0.661,2,0.00283
1670644521,5,363,364,0,0,2,0.00283
1670644522,5,364,365,0,0,2,0.00283
1670644523,5,365,366,0,0,3,0.00283
1670644524,5,366,367,0,0,1,0.00283
1670644525,5,367,368,0,0,2,0.00283
1670644526,5,368,369,0,0,2,0.00141
1670644527,5,369,370,0,0,1,0.00283
1670644528,5,370,371,0.0806,0.661,2,0.00283
1670644529,5,371,372,0,0,1,0.00283
1670644530,5,372,373,0,0,2,0.00424
1670644531,5,373,374,0,0,0,0.00707
1670644532,5,374,375,0,0,5,0.00283
1670644533,5,375,376,0,0,2,0.00283
1670644534,5,376,377,0.0792,0.65,1,0.00424
1670644535,5,377,378,0,0,2,0.00283
1670644536,5,378,379,0,0,1,0.00424
1670644537,5,379,380,0,0,2,0.00283
1670644538,5,380,381,0,0,1,0.00424
1670644539,5,381,382,0,0,2,0.00424
1670644540,5,382,383,0.0792,0.649,2,0.00283
1670644541,5,383,384,0,0,2,0.00283
1670644542,5,384,385,0,0,2,0.00283
1670644543,5,385,386,0,0,1,0.00424
1670644544,5,386,387,0,0,2,0.00283
1670644545,5,387,388,0,0,1,0.00283
1670644546,5,388,389,0,0,1,0.00283
1670644547,5,389,390,0,0,1,0.00283
1670644548,5,390,391,0,0,1,0.00283
1670644549,5,391,392,0.0778,0.638,1,0.00424
1670644550,5,392,393,0,0,3,0.00141
1670644551,5,393,394,0,0,1,0.00283
1670644552,5,394,395,0,0,2,0.00283
1670644553,5,395,396,0,0,2,0.00141
1670644554,5,396,397,0,0,1,0.00283
1670644555,5,397,398,0,0,1,0.00424
1670644556,5,398,399,0,0,1,0.00424
1670644557,5,399,400,0,0,2,0.00283
1670644558,5,400,401,0,0,1,0.00283
1670644559,5,401,402,0.0792,0.649,2,0.00283
1670644560,5,402,403,0,0,2,0.00283
1670644561,5,403,404,0,0,1,0.00424
1670644562,5,404,405,0,0,2,0.00283
1670644563,5,405,406,0,0,2,0.00283
1670644564,5,406,407,0,0,1,0.00424
1670644565,5,407,408,0.0834,0.684,2,0.00424
1670644566,5,408,409,0,0,2,0.00283
1670644567,5,409,410,0,0,2,0.00141
1670644568,5,410,411,0,0,1,0.00283
1670644569,5,411,412,0,0,2,0.00283
1670644570,5,412,413,0,0,0,0.00707
1670644571,5,413,414,0,0,2,0.00424
1670644572,5,414,415,0,0,2,0.00283
1670644573,5,415,416,0.0792,0.649,2,0.00283
1670644574,5,416,417,0,0,2,0.00141
1670644575,5,417,418,0,0,1,0.00424
1670644576,5,418,419,0,0,2,0.00283
1670644577,5,419,420,0,0,2,0.00283
1670644578,5,420,421,0,0,1,0.00424
1670644579,5,421,422,0,0,2,0.00283
1670644580,5,422,423,0,0,1,0.00283
1670644581,5,423,424,0.0792,0.649,2,0.00283
1670644582,5,424,425,0,0,2,0.00283
1670644583,5,425,426,0,0,1,0.00283
1670644584,5,426,427,0,0,2,0.00424
1670644585,5,427,428,0,0,1,0.00424
1670644586,5,428,429,0,0,2,0.00283
1670644587,5,429,430,0.0778,0.637,1,0.00566
1670644588,5,430,431,0,0,2,0.00283
1670644589,5,431,432,0,0,2,0.00283
1670644590,5,432,433,0,0,2,0.00283
1670644591,5,433,434,0,0,2,0.00283
1670644592,5,434,435,0,0,1,0.00424
1670644593,5,435,436,0,0,1,0.00283
1670644594,5,436,437,0.0778,0.637,2,0.00424
1670644595,5,437,438,0,0,1,0.00424
1670644596,5,438,439,0,0,1,0.00424
1670644597,5,439,440,0,0,4,0.00283
1670644598,5,440,441,0,0,2,0.00283
1670644599,5,441,442,0.0806,0.661,1,0.00424
1670644600,5,442,443,0,0,2,0.00283
1670644601,5,443,444,0,0,1,0.00283
1670644602,5,444,445,0,0,2,0.00283
1670644603,5,445,446,0,0,1,0.00283
1670644604,5,446,447,0,0,2,0.00283
1670644605,5,447,448,0,0,2,0.00283
1670644606,5,448,449,0,0,1,0.00283
1670644607,5,449,450,0.0806,0.661,2,0.00424
1670644608,5,450,451,0,0,2,0.00283
1670644609,5,451,452,0,0,1,0.00424
1670644610,5,452,453,0,0,2,0.00283
1670644611,5,453,454,0,0,1,0.00424
1670644612,5,454,455,0,0,2,0.00424
1670644613,5,455,456,0.0792,0.649,2,0.00283
1670644614,5,456,457,0,0,1,0.00283
1670644615,5,457,458,0,0,2,0.00283
1670644616,5,458,459,0,0,1,0.00424
1670644617,5,459,460,0,0,2,0.00283
1670644618,5,460,461,0,0,2,0.00424
1670644619,5,461,462,0,0,2,0.00141
1670644620,5,462,463,0.0778,0.637,1,0.00566
1670644621,5,463,464,0,0,3,0.00283
1670644622,5,464,465,0,0,2,0.00283
1670644623,5,465,466,0,0,2,0.00283
1670644624,5,466,467,0,0,1,0.00283
1670644625,5,467,468,0,0,2,0.00283
1670644626,5,468,469,0,0,2,0.00424
1670644627,5,469,470,0.0834,0.684,2,0.00283
1670644628,5,470,471,0,0,2,0.00283
1670644629,5,471,472,0,0,1,0.00424
1670644630,5,472,473,0,0,0,0.00707
1670644631,5,473,474,0,0,3,0.00424
1670644632,5,474,475,0,0,3,0.00283
1670644633,5,475,476,0,0,1,0.00283
1670644634,5,476,477,0.0778,0.638,2,0.00283
1670644635,5,477,478,0,0,1,0.00424
1670644636,5,478,479,0,0,2,0.00283
1670644637,5,479,480,0,0,2,0.00283
1670644638,5,480,481,0,0,1,0.00424
1670644639,5,481,482,0,0,2,0.00424
1670644640,5,482,483,0.0834,0.684,2,0.00283
1670644641,5,483,484,0,0,2,0.00283
1670644642,5,484,485,0,0,2,0.00283
1670644643,5,485,486,0,0,1,0.00283
1670644644,5,486,487,0,0,2,0.00424
1670644645,5,487,488,0,0,2,0.00283
1670644646,5,488,489,0.0806,0.661,1,0.00424
1670644647,5,489,490,0,0,1,0.00566
1670644648,5,490,491,0,0,3,0.00283
1670644649,5,491,492,0,0,1,0.00283
1670644650,5,492,493,0,0,2,0.00424
1670644651,5,493,494,0,0,1,0.00424
1670644652,5,494,495,0.0778,0.637,2,0.00283
1670644653,5,495,496,0,0,2,0.00283
1670644654,5,496,497,0,0,1,0.00566
1670644655,5,497,498,0,0,2,0.00424
1670644656,5,498,499,0,0,2,0.00283
1670644657,5,499,500,0,0,1,0.00283
1670644658,5,500,501,0.0778,0.637,2,0.00283
1670644659,5,501,502,0,0,2,0.00283
