Time,Iperf Svr ID,Iperf Svr Interval Start [sec],Iperf Svr Interval End [sec],Iperf Svr Transfer [MB],Iperf Svr Bandwidth [Mbps]
1670644483,4,325,326,0.0099,0.0811
1670644484,4,326,327,0.00848,0.0695
1670644485,4,327,328,0.00707,0.0579
1670644486,4,328,329,0.0156,0.127
1670644487,4,329,330,0.0113,0.0927
1670644488,4,330,331,0.0141,0.116
1670644489,4,331,332,0.0141,0.116
1670644490,4,332,333,0.00848,0.0695
1670644491,4,333,334,0.00566,0.0463
1670644492,4,334,335,0.00848,0.0695
1670644493,4,335,336,0.0099,0.0811
1670644494,4,336,337,0.0113,0.0927
1670644495,4,337,338,0.00848,0.0695
1670644496,4,338,339,0.0127,0.104
1670644497,4,339,340,0.00707,0.0579
1670644498,4,340,341,0.00848,0.0695
1670644499,4,341,342,0.017,0.139
1670644500,4,342,343,0.00141,0.0116
1670644501,4,343,344,0.00707,0.0579
1670644502,4,344,345,0,0
1670644503,4,345,346,0.00566,0.0463
1670644504,4,346,347,0.00424,0.0348
1670644505,4,347,348,0.00424,0.0348
1670644506,4,348,349,0.00707,0.058
1670644507,4,349,350,0.00566,0.0463
1670644508,4,350,351,0.00848,0.0695
1670644509,4,351,352,0.00424,0.0347
1670644510,4,352,353,0.00848,0.0695
1670644511,4,353,354,0.00424,0.0347
1670644512,4,354,355,0.0113,0.0927
1670644513,4,355,356,0.0156,0.127
1670644514,4,356,357,0.0283,0.232
1670644515,4,357,358,0.0113,0.0927
1670644516,4,358,359,0.0156,0.127
1670644517,4,359,360,0.0184,0.151
1670644518,4,360,361,0.0113,0.0926
1670644519,4,361,362,0.00848,0.0695
1670644520,4,362,363,0.00566,0.0463
1670644521,4,363,364,0.0127,0.104
1670644522,4,364,365,0.00424,0.0348
1670644523,4,365,366,0.0127,0.104
1670644524,4,366,367,0.00424,0.0347
1670644525,4,367,368,0.0198,0.162
1670644526,4,368,369,0.00848,0.0695
1670644527,4,369,370,0.00566,0.0463
1670644528,4,370,371,0.0156,0.127
1670644529,4,371,372,0.00566,0.0463
1670644530,4,372,373,0.0226,0.185
1670644531,4,373,374,0.024,0.197
1670644532,4,374,375,0.0099,0.0811
1670644533,4,375,376,0.00424,0.0347
1670644534,4,376,377,0.017,0.139
1670644535,4,377,378,0.0141,0.116
1670644536,4,378,379,0.0113,0.0927
1670644537,4,379,380,0.017,0.139
1670644538,4,380,381,0.0099,0.0811
1670644539,4,381,382,0.0156,0.127
1670644540,4,382,383,0.00848,0.0695
1670644541,4,383,384,0.00848,0.0695
1670644542,4,384,385,0.0113,0.0927
1670644543,4,385,386,0.0156,0.127
1670644544,4,386,387,0.0141,0.116
1670644545,4,387,388,0.00707,0.0579
1670644546,4,388,389,0.00424,0.0348
1670644547,4,389,390,0.00424,0.0348
1670644548,4,390,391,0.00848,0.0695
1670644549,4,391,392,0.00566,0.0463
1670644550,4,392,393,0.00848,0.0695
1670644551,4,393,394,0.00141,0.0116
1670644552,4,394,395,0.00848,0.0695
1670644553,4,395,396,0.00424,0.0347
1670644554,4,396,397,0.00848,0.0695
1670644555,4,397,398,0.0113,0.0927
1670644556,4,398,399,0.0099,0.0811
1670644557,4,399,400,0.0141,0.116
1670644558,4,400,401,0.00424,0.0347
1670644559,4,401,402,0.00848,0.0695
1670644560,4,402,403,0.0099,0.0811
1670644561,4,403,404,0.0297,0.243
1670644562,4,404,405,0.00566,0.0463
1670644563,4,405,406,0.0099,0.0811
1670644564,4,406,407,0.0156,0.127
1670644565,4,407,408,0.00848,0.0695
1670644566,4,408,409,0.00424,0.0347
1670644567,4,409,410,0.00848,0.0695
1670644568,4,410,411,0.00424,0.0347
1670644569,4,411,412,0.0198,0.162
1670644570,4,412,413,0.0226,0.185
1670644571,4,413,414,0.00707,0.0579
1670644572,4,414,415,0.00424,0.0347
1670644573,4,415,416,0.00848,0.0695
1670644574,4,416,417,0.00707,0.0579
1670644575,4,417,418,0.0127,0.104
1670644576,4,418,419,0.0141,0.116
1670644577,4,419,420,0.0099,0.0811
1670644578,4,420,421,0.0113,0.0927
1670644579,4,421,422,0.0141,0.116
1670644580,4,422,423,0.00424,0.0347
1670644581,4,423,424,0.0099,0.0811
1670644582,4,424,425,0.0113,0.0927
1670644583,4,425,426,0.0141,0.116
1670644584,4,426,427,0.0156,0.127
1670644585,4,427,428,0.0099,0.0811
1670644586,4,428,429,0.0141,0.116
1670644587,4,429,430,0.0212,0.174
1670644588,4,430,431,0.0099,0.0811
1670644589,4,431,432,0.00848,0.0695
1670644590,4,432,433,0.00848,0.0695
1670644591,4,433,434,0.00424,0.0348
1670644592,4,434,435,0.0212,0.174
1670644593,4,435,436,0.00424,0.0347
1670644594,4,436,437,0.0212,0.174
1670644595,4,437,438,0.024,0.197
1670644596,4,438,439,0.017,0.139
1670644597,4,439,440,0.00848,0.0695
1670644598,4,440,441,0.0099,0.0811
1670644599,4,441,442,0.0156,0.127
1670644600,4,442,443,0.00848,0.0695
1670644601,4,443,444,0.00424,0.0348
1670644602,4,444,445,0.00848,0.0695
1670644603,4,445,446,0.0113,0.0927
1670644604,4,446,447,0.0099,0.0811
1670644605,4,447,448,0.00848,0.0695
1670644606,4,448,449,0.00424,0.0347
1670644607,4,449,450,0.0212,0.174
1670644608,4,450,451,0.0113,0.0927
1670644609,4,451,452,0.0141,0.116
1670644610,4,452,453,0.0141,0.116
1670644611,4,453,454,0.0113,0.0927
1670644612,4,454,455,0.0198,0.162
1670644613,4,455,456,0.0113,0.0927
1670644614,4,456,457,0.00848,0.0695
1670644615,4,457,458,0.0141,0.116
1670644616,4,458,459,0.0113,0.0926
1670644617,4,459,460,0.00848,0.0695
1670644618,4,460,461,0.0212,0.174
1670644619,4,461,462,0.00707,0.0579
1670644620,4,462,463,0.0141,0.116
1670644621,4,463,464,0.00848,0.0695
1670644622,4,464,465,0.00566,0.0463
1670644623,4,465,466,0.0113,0.0926
1670644624,4,466,467,0.0141,0.116
1670644625,4,467,468,0.00848,0.0695
1670644626,4,468,469,0.0156,0.127
1670644627,4,469,470,0.0099,0.081
1670644628,4,470,471,0.00848,0.0695
1670644629,4,471,472,0.0198,0.162
1670644630,4,472,473,0.0184,0.151
1670644631,4,473,474,0.00566,0.0463
1670644632,4,474,475,0.0099,0.0811
1670644633,4,475,476,0.00424,0.0347
1670644634,4,476,477,0.00848,0.0695
1670644635,4,477,478,0.0113,0.0926
1670644636,4,478,479,0.0141,0.116
1670644637,4,479,480,0.0184,0.151
1670644638,4,480,481,0.0127,0.104
1670644639,4,481,482,0.0198,0.162
1670644640,4,482,483,0.0141,0.116
1670644641,4,483,484,0.00848,0.0695
1670644642,4,484,485,0.00848,0.0695
1670644643,4,485,486,0.00424,0.0347
1670644644,4,486,487,0.0212,0.174
1670644645,4,487,488,0.0099,0.0811
1670644646,4,488,489,0.0226,0.185
1670644647,4,489,490,0.0297,0.243
1670644648,4,490,491,0.00566,0.0463
1670644649,4,491,492,0.00424,0.0347
1670644650,4,492,493,0.0212,0.174
1670644651,4,493,494,0.0099,0.0811
1670644652,4,494,495,0.00848,0.0695
1670644653,4,495,496,0.0156,0.127
1670644654,4,496,497,0.024,0.197
1670644655,4,497,498,0.0113,0.0926
1670644656,4,498,499,0.0099,0.0811
1670644657,4,499,500,0.00424,0.0347
1670644658,4,500,501,0.00848,0.0695
1670644659,4,501,502,0.017,0.139
1670644660,4,502,503,0.00848,0.0695
1670644661,4,503,504,0.0113,0.0927
1670644662,4,504,505,0.0269,0.22
1670644663,4,505,506,0.0113,0.0927
1670644664,4,506,507,0.00848,0.0695
1670644665,4,507,508,0.00848,0.0695
1670644666,4,508,509,0.00424,0.0347
1670644667,4,509,510,0.0156,0.127
1670644668,4,510,511,0.0099,0.0811
1670644669,4,511,512,0.0156,0.127
1670644670,4,512,513,0.0141,0.116
1670644671,4,513,514,0.00848,0.0695
1670644672,4,514,515,0.0127,0.104
1670644673,4,515,516,0.00848,0.0695
1670644674,4,516,517,0.0141,0.116
1670644675,4,517,518,0.0113,0.0927
1670644676,4,518,519,0.00848,0.0695
1670644677,4,519,520,0.017,0.139
1670644678,4,520,521,0.0141,0.116
1670644679,4,521,522,0.0113,0.0927
1670644680,4,522,523,0.00707,0.0579
1670644681,4,523,524,0.0113,0.0927
1670644682,4,524,525,0.0099,0.0811
1670644683,4,525,526,0.0099,0.0811
1670644684,4,526,527,0.017,0.139
1670644685,4,527,528,0.0141,0.116
1670644686,4,528,529,0.0141,0.116
1670644687,4,529,530,0.0283,0.232
1670644688,4,530,531,0.0127,0.104
1670644689,4,531,532,0.00566,0.0463
1670644690,4,532,533,0.00848,0.0695
1670644691,4,533,534,0.00424,0.0347
1670644692,4,534,535,0.0113,0.0927
1670644693,4,535,536,0.00848,0.0695
1670644694,4,536,537,0.00848,0.0695
1670644695,4,537,538,0.0113,0.0927
1670644696,4,538,539,0.0141,0.116
1670644697,4,539,540,0.00848,0.0695
1670644698,4,540,541,0.017,0.139
1670644699,4,541,542,0.00848,0.0695
1670644700,4,542,543,0.00566,0.0463
1670644701,4,543,544,0.0156,0.127
1670644702,4,544,545,0.0113,0.0926
1670644703,4,545,546,0.0141,0.116
1670644704,4,546,547,0.017,0.139
1670644705,4,547,548,0.0226,0.185
1670644706,4,548,549,0.0141,0.116
1670644707,4,549,550,0.00848,0.0695
1670644708,4,550,551,0.00848,0.0695
1670644709,4,551,552,0.00566,0.0463
1670644710,4,552,553,0.00848,0.0695
1670644711,4,553,554,0.00848,0.0695
1670644712,4,554,555,0.00848,0.0695
1670644713,4,555,556,0.00848,0.0695
1670644714,4,556,557,0.00848,0.0695
1670644715,4,557,558,0.0141,0.116
1670644716,4,558,559,0.00848,0.0695
1670644717,4,559,560,0.00566,0.0463
1670644718,4,560,561,0.00848,0.0695
1670644719,4,561,562,0.00848,0.0695
1670644720,4,562,563,0.00848,0.0695
1670644721,4,563,564,0.0141,0.116
1670644722,4,564,565,0.0113,0.0926
1670644723,4,565,566,0.0141,0.116
1670644724,4,566,567,0.0127,0.104
1670644725,4,567,568,0.0311,0.255
1670644726,4,568,569,0.00566,0.0463
1670644727,4,569,570,0.00707,0.0579
1670644728,4,570,571,0.00566,0.0463
